item_id,asset_path,display_name,category,buy_price,sell_price,max_stack,is_animal_product,is_key_item,is_not_sellable,requires_sell_confirmation,equipped_tool,medicine_level,fertilizer_level,required_village_level,soil_restore_amount,crop_booster_level,can_drop_to_world,can_place_in_world,sprinkler_level,is_edible,food_preparation,health_restore,stamina_restore,hunger_restore,seed_crop_id
item.animal_feed,Assets/Nature  Paradaise/Resources/Items/Materials/Animal Feed.asset,Animal Feed,Material,20,4,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.animal_medicine,Assets/Nature  Paradaise/Resources/Items/Animal/Animal Medicine.asset,Animal Medicine Lv.1 - Basic,General,150,0,32,FALSE,FALSE,FALSE,FALSE,None,Basic,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.animal_medicine_premium,Assets/Nature  Paradaise/Resources/Items/Animal/Animal Medicine Premium.asset,Animal Medicine Lv.3 - Premium,General,700,0,32,FALSE,FALSE,FALSE,FALSE,None,Premium,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.animal_medicine_strong,Assets/Nature  Paradaise/Resources/Items/Animal/Animal Medicine Strong.asset,Animal Medicine Lv.2 - Strong,General,350,0,32,FALSE,FALSE,FALSE,FALSE,None,Strong,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.animal_treat,Assets/Nature  Paradaise/Resources/Items/Animal/Animal Treat.asset,Animal Treat,General,80,0,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.apple_fruit,Assets/Nature  Paradaise/Resources/Trees/Apple Fruit.asset,Apple,Food,0,100,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,Raw,0,0,0,
item.apple_seedling,Assets/Nature  Paradaise/Resources/Trees/Apple Seedling.asset,Apple Seedling,General,750,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.axe_tool,Assets/Nature  Paradaise/Resources/Items/Tools/Axe Tool.asset,Axe,Tool,0,0,1,FALSE,FALSE,FALSE,FALSE,Axe,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.basic_fertilizer,Assets/Nature  Paradaise/Resources/Items/Farming/Basic Fertilizer.asset,Basic Soil Fertilizer,Material,100,0,16,FALSE,FALSE,FALSE,FALSE,Fertilizer,None,Basic,1,10,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.blessing_dewi_sri,Assets/Nature  Paradaise/Resources/Items/Materials/Blessing Dewi Sri.asset,Blessing Dewi Sri,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.cabbage,Assets/Nature  Paradaise/Resources/Items/Animal/Cabbage.asset,Cabbage,Food,0,12,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,TRUE,ReadyToEat,2,12,20,
item.coconut_fruit,Assets/Nature  Paradaise/Resources/Trees/Coconut Fruit.asset,Coconut,Food,0,100,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,Raw,0,0,0,
item.coconut_seedling,Assets/Nature  Paradaise/Resources/Trees/Coconut Seedling.asset,Coconut Seedling,General,750,0,16,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,TRUE,0,FALSE,NotFood,0,0,0,
item.corn,Assets/Nature  Paradaise/Resources/Items/Materials/Corn.asset,Corn,Material,20,4,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.crop_booster_20,Assets/Nature  Paradaise/Resources/Items/Farming/Crop Booster 20.asset,Basic Fertilizer (Crop Booster),Material,120,30,16,FALSE,FALSE,FALSE,FALSE,CropBooster,None,None,1,0,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.deluxe_crop_booster,Assets/Nature  Paradaise/Resources/Items/Farming/Deluxe Crop Booster.asset,Deluxe Crop Booster,Material,1000,0,99,FALSE,FALSE,FALSE,FALSE,CropBooster,None,None,1,0,4,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.deluxe_fertilizer,Assets/Nature  Paradaise/Resources/Items/Farming/Deluxe Fertilizer.asset,Deluxe Soil Fertilizer,Material,1000,0,16,FALSE,FALSE,FALSE,FALSE,Fertilizer,None,Deluxe,4,50,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.divine_crop_booster,Assets/Nature  Paradaise/Resources/Items/Farming/Divine Crop Booster.asset,Divine Crop Booster,Material,2500,0,99,FALSE,FALSE,FALSE,FALSE,CropBooster,None,None,1,0,5,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.divine_soil_fertilizer,Assets/Nature  Paradaise/Resources/Items/Farming/Divine Soil Fertilizer.asset,Divine Soil Fertilizer,Material,2500,0,16,FALSE,FALSE,FALSE,FALSE,Fertilizer,None,Divine,1,80,1,FALSE,FALSE,0,FALSE,NotFood,0,0,0,
item.dry_grass,Assets/Nature  Paradaise/Resources/Items/Materials/Dry Grass.asset,Dry Grass,Material,0,0,99,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.duck_egg,Assets/Nature  Paradaise/Resources/Items/Animal/Duck Egg.asset,Duck Egg,AnimalProduct,0,35,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.egg,Assets/Nature  Paradaise/Resources/Items/Animal/Egg.asset,Egg,AnimalProduct,0,25,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.goat_milk,Assets/Nature  Paradaise/Resources/Items/Animal/Goat Milk.asset,Goat Milk,AnimalProduct,0,40,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
item.grass,Assets/Nature  Paradaise/Resources/Items/Materials/Grass.asset,Grass / Fodder,Material,20,2,32,FALSE,FALSE,FALSE,FALSE,None,None,None,1,0,1,TRUE,FALSE,0,FALSE,NotFood,0,0,0,
